序号,测试模块,测试概述,测试详情（操作步骤）,预期结果,是否通过,截图,备注
1,注册,正常注册新用户,"1. 打开 /register
2. 输入姓名：测试用户
3. 输入邮箱：test@example.com
4. 输入密码：test1234
5. 输入确认密码：test1234
6. 点击注册按钮",注册成功，自动跳转首页，NavBar 显示用户名和头像,,,密码含字母+数字，长度 ≥8
2,注册,姓名输入框为空,"1. 打开 /register
2. 姓名留空
3. 填写其他字段后点击注册",按钮置灰无法点击，或点击后提示"请输入姓名",,,前端校验
3,注册,姓名超过50字限制,"1. 打开 /register
2. 输入超过50字的姓名
3. 填写其他正确字段后点击注册",提示"姓名不超过 50 字",,,前端校验
4,注册,邮箱格式不正确,"1. 打开 /register
2. 输入非法邮箱如 'abc'、'abc@'、'@abc.com'
3. 填写其他正确字段后点击注册",提示"请输入有效的邮箱地址",,,前端校验
5,注册,密码长度不足8位,"1. 打开 /register
2. 输入密码：ab1（不足8位）
3. 填写其他正确字段后点击注册",提示"密码长度需为 8-32 位",,,前端校验
6,注册,密码超过32位,"1. 打开 /register
2. 输入超过32位的密码
3. 填写其他正确字段后点击注册",提示"密码长度需为 8-32 位",,,前端校验
7,注册,密码只有字母没有数字,"1. 打开 /register
2. 输入密码：abcdefgh（纯字母，≥8位但无数字）
3. 填写其他正确字段后点击注册",提示"密码需包含字母和数字" 或按钮置灰,,,前端校验
8,注册,密码只有数字没有字母,"1. 打开 /register
2. 输入密码：12345678（纯数字，≥8位但无字母）
3. 填写其他正确字段后点击注册",提示"密码需包含字母和数字" 或按钮置灰,,,前端校验
9,注册,确认密码与密码不一致,"1. 打开 /register
2. 输入密码：test1234
3. 输入确认密码：test5678（不同）
4. 点击注册",提示"两次输入的密码不一致" 或按钮置灰,,,前端实时校验，输入框变红
10,注册,重复邮箱注册,"1. 先注册一个用户 test@example.com
2. 再次用相同邮箱注册",返回 409 错误，提示"该邮箱已注册",,,后端校验
11,注册,注册接口速率限制,1. 在 1 分钟内连续发送超过 5 次注册请求,第 6 次起返回 429 / rate_limited 错误,,,express-rate-limit
12,注册,密码哈希存储验证,"1. 注册成功后
2. 直接查看数据库 User 表 password 字段",password 字段存储的是 bcrypt 哈希值（$2a$12$...），不是明文,,,安全性测试：确认密码不存明文
13,注册,相同密码注册两次哈希值不同,"1. 注册用户 A，密码 abc12345
2. 注册用户 B，密码 abc12345
3. 查看数据库两人 password 字段",两人哈希值完全不同（bcrypt 自动加随机盐）,,,安全性测试：防彩虹表
14,登录,正常登录,"1. 打开 /login
2. 输入已注册的邮箱和密码
3. 点击登录按钮",登录成功，跳转首页，NavBar 显示用户信息，localStorage 存储 token 和 user,,,
15,登录,邮箱为空,"1. 打开 /login
2. 邮箱留空，填写密码
3. 点击登录",提示"请输入邮箱地址",,,前端校验
16,登录,密码为空,"1. 打开 /login
2. 填写邮箱，密码留空
3. 点击登录",提示"请输入密码",,,前端校验
17,登录,邮箱格式非法,"1. 打开 /login
2. 输入非法格式邮箱（如 'notanemail'）
3. 填写密码后点击登录",提示"请输入有效的邮箱地址",,,前端校验
18,登录,密码错误,"1. 打开 /login
2. 输入正确邮箱，输入错误密码
3. 点击登录",返回 401 错误，提示"邮箱或密码错误",,,后端统一错误信息，不区分用户是否存在
19,登录,邮箱不存在,"1. 打开 /login
2. 输入未注册的邮箱
3. 点击登录",返回 401 错误，提示"邮箱或密码错误",,,后端不暴露"用户不存在"，防撞库
20,登录,登录接口速率限制,1. 在 1 分钟内连续发送超过 5 次登录请求,第 6 次起返回 429 / rate_limited 错误,,,防暴力破解
21,登录,登录后 Token 写入 localStorage,"1. 正常登录成功
2. 打开浏览器 DevTools → Application → Local Storage",localStorage 中存在 token 和 user 两个 key,,,
